Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 13:00:00 2023,317332312,1736572680,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:05:00 2023,549234280,2067985584,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:10:00 2023,458798176,1971767360,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:15:00 2023,335331968,2111474920,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:20:00 2023,360337520,2241420168,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:25:00 2023,371165448,2050863960,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:30:00 2023,342409264,1775095264,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:35:00 2023,612550664,1907287416,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:40:00 2023,660148096,1844416304,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:45:00 2023,645524120,1797756240,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:50:00 2023,451312272,1818338696,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:55:00 2023,357806872,1942614832,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:00:00 2023,347602824,1943597352,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:05:00 2023,410657416,1984123168,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:10:00 2023,393752536,1801574736,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:15:00 2023,413407864,1594959000,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:20:00 2023,383621856,1919846248,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:25:00 2023,373229760,1625760648,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:30:00 2023,401709336,1712248624,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:35:00 2023,385308248,1573720776,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:40:00 2023,344797488,1532118216,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:45:00 2023,325790368,1668772224,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:50:00 2023,391384432,2349682496,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:55:00 2023,312041560,1770702760,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:00:00 2023,384277584,1700191704,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:05:00 2023,460880632,1656309480,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:10:00 2023,497599504,1514129144,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:15:00 2023,376792960,1561501048,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:20:00 2023,340265056,1582843248,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:25:00 2023,384757680,1540215704,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:30:00 2023,344962056,1545590448,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:35:00 2023,330978912,1430028312,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:40:00 2023,301190224,1313623952,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:45:00 2023,276899440,1831537088,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:50:00 2023,310484856,1697880688,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:55:00 2023,346340952,1396451920,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:00:00 2023,311171384,1159420744,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:05:00 2023,298846968,1869491320,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:10:00 2023,276873184,1479346344,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:15:00 2023,255326104,1319145984,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:20:00 2023,267814728,1949814992,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:25:00 2023,254643320,1313378272,20100000000,20100000000,20000000000,20100000000
