Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 13:10:00 2023,117290336,421648,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 13:15:00 2023,111278232,619328,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 13:20:00 2023,74498392,615776,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 13:25:00 2023,16657456,484496,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 13:30:00 2023,17416768,829656,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 13:35:00 2023,19555000,3019032,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 13:40:00 2023,21967608,1174776,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 13:45:00 2023,20289744,1147656,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 13:50:00 2023,26371480,5302584,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 13:55:00 2023,21236704,747920,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:00:00 2023,21618848,2255160,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:05:00 2023,24348472,704712,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:10:00 2023,24752480,701608,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:15:00 2023,29022608,588160,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:20:00 2023,29361392,1883568,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:25:00 2023,27110320,515040,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:30:00 2023,24994192,391336,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:35:00 2023,19249920,1119936,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:40:00 2023,21180000,729736,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:45:00 2023,26483648,936592,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:50:00 2023,27539784,1891776,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 14:55:00 2023,22421144,3427632,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:00:00 2023,24493296,3200080,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:05:00 2023,26654488,1485488,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:10:00 2023,23418760,979064,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:15:00 2023,42270368,1725576,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:20:00 2023,56987536,1426880,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:25:00 2023,26558600,935272,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:30:00 2023,23758272,1140000,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:35:00 2023,20648648,1002200,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:40:00 2023,19028024,2009344,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:45:00 2023,16502200,749616,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:50:00 2023,43965752,932280,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 15:55:00 2023,22061520,501704,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:00:00 2023,46872872,1094136,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:05:00 2023,22749984,1250880,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:10:00 2023,14343304,1795336,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:15:00 2023,13655456,754048,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:20:00 2023,32115824,152592,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:25:00 2023,27256472,1894456,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:30:00 2023,24198416,1600128,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:35:00 2023,43451248,3140704,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:40:00 2023,27182104,22845032,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:45:00 2023,22589784,417064,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:50:00 2023,20277856,1398752,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 16:55:00 2023,24183104,185136,15075000000,15075000000,15000000000,15075000000
